IND_ID,LABEL ENG
EA5pPT.2.GPV,"Percentage of teachers with ISCED 5 or higher qualification, ISCED 2, General and pre-vocational"
EA5pPT.2.GPV.Pr,"Percentage of teachers with ISCED 5 or higher qualification, ISCED 2, General and pre-vocational, Private"
EA5pPT.2.GPV.Pu,"Percentage of teachers with ISCED 5 or higher qualification, ISCED 2, General and pre-vocational, Public"
EA5pPT.2t3.GPV,"Percentage of teachers with ISCED 5 or higher qualification, ISCED 2 and 3, General and pre-vocational"
EA5pPT.2t3.GPV.Pr,"Percentage of teachers with ISCED 5 or higher qualification, ISCED 2 and 3, General and pre-vocational, Private"
EA5pPT.2t3.GPV.Pu,"Percentage of teachers with ISCED 5 or higher qualification, ISCED 2 and 3, General and pre-vocational, Public"
EA5pPT.3.GPV,"Percentage of teachers with ISCED 5 or higher qualification, ISCED 3, General and pre-vocational"
EA5pPT.3.GPV.Pr,"Percentage of teachers with ISCED 5 or higher qualification, ISCED 3, General and pre-vocational, Private"
EA5pPT.3.GPV.Pu,"Percentage of teachers with ISCED 5 or higher qualification, ISCED 3, General and pre-vocational, Public"
EAukPT.1,"Percentage of teachers with qualification unknown, ISCED 1"
EAukPT.1.Pr,"Percentage of teachers with qualification unknown, ISCED 1, Private"
EAukPT.1.Pu,"Percentage of teachers with qualification unknown, ISCED 1, Public"
EAukPT.2.GPV,"Percentage of teachers with qualification unknown, ISCED 2, General and pre-vocational"
EAukPT.2.GPV.Pr,"Percentage of teachers with qualification unknown, ISCED 2, General and pre-vocational, Private"
EAukPT.2.GPV.Pu,"Percentage of teachers with qualification unknown, ISCED 2, General and pre-vocational, Public"
EAukPT.2t3.GPV,"Percentage of teachers with qualification unknown, ISCED 2 and 3, General and pre-vocational"
EAukPT.2t3.GPV.Pr,"Percentage of teachers with qualification unknown, ISCED 2 and 3, General and pre-vocational, Private"
EAukPT.2t3.GPV.Pu,"Percentage of teachers with qualification unknown, ISCED 2 and 3, General and pre-vocational, Public"
EAukPT.3.GPV,"Percentage of teachers with qualification unknown, ISCED 3, General and pre-vocational"
EAukPT.3.GPV.Pr,"Percentage of teachers with qualification unknown, ISCED 3, General and pre-vocational, Private"
EAukPT.3.GPV.Pu,"Percentage of teachers with qualification unknown, ISCED 3, General and pre-vocational, Public"
Exp11t15PT.1,"Percentage of teachers with 11 to 15 years of experience, ISCED 1"
Exp11t15PT.1.Pr,"Percentage of teachers with 11 to 15 years of experience, ISCED 1, Private"
Exp11t15PT.1.Pu,"Percentage of teachers with 11 to 15 years of experience, ISCED 1, Public"
Exp11t15PT.2.GPV,"Percentage of teachers with 11 to 15 years of experience, ISCED 2, General and pre-vocational"
Exp11t15PT.2.GPV.Pr,"Percentage of teachers with 11 to 15 years of experience, ISCED 2, General and pre-vocational, Private"
Exp11t15PT.2.GPV.Pu,"Percentage of teachers with 11 to 15 years of experience, ISCED 2, General and pre-vocational, Public"
Exp11t15PT.2t3.GPV,"Percentage of teachers with 11 to 15 years of experience, ISCED 2 and 3, General and pre-vocational"
Exp11t15PT.2t3.GPV.Pr,"Percentage of teachers with 11 to 15 years of experience, ISCED 2 and 3, General and pre-vocational, Private"
Exp11t15PT.2t3.GPV.Pu,"Percentage of teachers with 11 to 15 years of experience, ISCED 2 and 3, General and pre-vocational, Public"
Exp11t15PT.3.GPV,"Percentage of teachers with 11 to 15 years of experience, ISCED 3, General and pre-vocational"
Exp11t15PT.3.GPV.Pr,"Percentage of teachers with 11 to 15 years of experience, ISCED 3, General and pre-vocational, Private"
Exp11t15PT.3.GPV.Pu,"Percentage of teachers with 11 to 15 years of experience, ISCED 3, General and pre-vocational, Public"
Exp15pPT.1,"Percentage of teachers with more than 15 years of experience, ISCED 1"
Exp15pPT.1.Pr,"Percentage of teachers with more than 15 years of experience, ISCED 1, Private"
Exp15pPT.1.Pu,"Percentage of teachers with more than 15 years of experience, ISCED 1, Public"
Exp15pPT.2.GPV,"Percentage of teachers with more than 15 years of experience, ISCED 2, General and pre-vocational"
Exp15pPT.2.GPV.Pr,"Percentage of teachers with more than 15 years of experience, ISCED 2, General and pre-vocational, Private"
Exp15pPT.2.GPV.Pu,"Percentage of teachers with more than 15 years of experience, ISCED 2, General and pre-vocational, Public"
Exp15pPT.2t3.GPV,"Percentage of teachers with more than 15 years of experience, ISCED 2 and 3, General and pre-vocational"
Exp15pPT.2t3.GPV.Pr,"Percentage of teachers with more than 15 years of experience, ISCED 2 and 3, General and pre-vocational, Private"
Exp15pPT.2t3.GPV.Pu,"Percentage of teachers with more than 15 years of experience, ISCED 2 and 3, General and pre-vocational, Public"
Exp15pPT.3.GPV,"Percentage of teachers with more than 15 years of experience, ISCED 3, General and pre-vocational"
Exp15pPT.3.GPV.Pr,"Percentage of teachers with more than 15 years of experience, ISCED 3, General and pre-vocational, Private"
Exp15pPT.3.GPV.Pu,"Percentage of teachers with more than 15 years of experience, ISCED 3, General and pre-vocational, Public"
Exp1t2PT.1,"Percentage of teachers with 1 to 2 years of experience, ISCED 1"
Exp1t2PT.1.Pr,"Percentage of teachers with 1 to 2 years of experience, ISCED 1, Private"
Exp1t2PT.1.Pu,"Percentage of teachers with 1 to 2 years of experience, ISCED 1, Public"
Exp1t2PT.2.GPV,"Percentage of teachers with 1 to 2 years of experience, ISCED 2, General and pre-vocational"
Exp1t2PT.2.GPV.Pr,"Percentage of teachers with 1 to 2 years of experience, ISCED 2, General and pre-vocational, Private"
Exp1t2PT.2.GPV.Pu,"Percentage of teachers with 1 to 2 years of experience, ISCED 2, General and pre-vocational, Public"
Exp1t2PT.2t3.GPV,"Percentage of teachers with 1 to 2 years of experience, ISCED 2 and 3, General and pre-vocational"
Exp1t2PT.2t3.GPV.Pr,"Percentage of teachers with 1 to 2 years of experience, ISCED 2 and 3, General and pre-vocational, Private"
Exp1t2PT.2t3.GPV.Pu,"Percentage of teachers with 1 to 2 years of experience, ISCED 2 and 3, General and pre-vocational, Public"
Exp1t2PT.3.GPV,"Percentage of teachers with 1 to 2 years of experience, ISCED 3, General and pre-vocational"
Exp1t2PT.3.GPV.Pr,"Percentage of teachers with 1 to 2 years of experience, ISCED 3, General and pre-vocational, Private"
Exp1t2PT.3.GPV.Pu,"Percentage of teachers with 1 to 2 years of experience, ISCED 3, General and pre-vocational, Public"
Exp3t5PT.1,"Percentage of teachers with 3 to 5 years of experience, ISCED 1"
Exp3t5PT.1.Pr,"Percentage of teachers with 3 to 5 years of experience, ISCED 1, Private"
Exp3t5PT.1.Pu,"Percentage of teachers with 3 to 5 years of experience, ISCED 1, Public"
Exp3t5PT.2.GPV,"Percentage of teachers with 3 to 5 years of experience, ISCED 2, General and pre-vocational"
Exp3t5PT.2.GPV.Pr,"Percentage of teachers with 3 to 5 years of experience, ISCED 2, General and pre-vocational, Private"
Exp3t5PT.2.GPV.Pu,"Percentage of teachers with 3 to 5 years of experience, ISCED 2, General and pre-vocational, Public"
Exp3t5PT.2t3.GPV,"Percentage of teachers with 3 to 5 years of experience, ISCED 2 and 3, General and pre-vocational"
Exp3t5PT.2t3.GPV.Pr,"Percentage of teachers with 3 to 5 years of experience, ISCED 2 and 3, General and pre-vocational, Private"
Exp3t5PT.2t3.GPV.Pu,"Percentage of teachers with 3 to 5 years of experience, ISCED 2 and 3, General and pre-vocational, Public"
Exp3t5PT.3.GPV,"Percentage of teachers with 3 to 5 years of experience, ISCED 3, General and pre-vocational"
Exp3t5PT.3.GPV.Pr,"Percentage of teachers with 3 to 5 years of experience, ISCED 3, General and pre-vocational, Private"
Exp3t5PT.3.GPV.Pu,"Percentage of teachers with 3 to 5 years of experience, ISCED 3, General and pre-vocational, Public"
Exp6t10PT.1,"Percentage of teachers with 6 to 10 years of experience, ISCED 1"
Exp6t10PT.1.Pr,"Percentage of teachers with 6 to 10 years of experience, ISCED 1, Private"
Exp6t10PT.1.Pu,"Percentage of teachers with 6 to 10 years of experience, ISCED 1, Public"
Exp6t10PT.2.GPV,"Percentage of teachers with 6 to 10 years of experience, ISCED 2, General and pre-vocational"
Exp6t10PT.2.GPV.Pr,"Percentage of teachers with 6 to 10 years of experience, ISCED 2, General and pre-vocational, Private"
Exp6t10PT.2.GPV.Pu,"Percentage of teachers with 6 to 10 years of experience, ISCED 2, General and pre-vocational, Public"
Exp6t10PT.2t3.GPV,"Percentage of teachers with 6 to 10 years of experience, ISCED 2 and 3, General and pre-vocational"
Exp6t10PT.2t3.GPV.Pr,"Percentage of teachers with 6 to 10 years of experience, ISCED 2 and 3, General and pre-vocational, Private"
Exp6t10PT.2t3.GPV.Pu,"Percentage of teachers with 6 to 10 years of experience, ISCED 2 and 3, General and pre-vocational, Public"
